Site,Year,CE10_chr1_9110324,CE10_chr1_10285837,CE10_chr1_41675448,CE10_chr1_41675470,CE10_chr1_41676505,CE10_chr1_41676527,CE10_chr2_18320447,CE10_chr2_18320697,CE10_chr2_18584866,CE10_chr2_18631100,CE10_chr2_18632042,CE10_chr2_18734446,CE10_chr2_18738517,CE10_chr2_18964953,CE10_chr2_18965007,CE10_chr3_4171962,CE10_chr3_45146794,CE10_chr3_49434709,CE10_chr3_49436336,CE10_chr3_49436387,CE10_chr5_42944506,CE10_chr5_42944930,CE10_chr6_52686214,CE10_chr6_52686250,CE10_chr6_52686281,CE10_chr6_52686491,CE10_chr6_52686524,CE10_chr6_52686709,CE10_chr6_52687031,CE10_chr6_52687062,CE10_chr6_56504967,CE10_chr6_56505268,CE10_chr6_56505735,CE10_chr6_56505767,CE10_chr6_56507361,CE10_chr6_56507770,CE10_chr6_56508033,CE10_chr6_56508360,CE10_chr6_56508405,CE10_chr6_56508510,CE10_chr6_56508903,CE10_chr6_56508971,CE10_chr6_56509115,CE10_chr6_56509130,CE10_chr7_30318081,CE10_chr7_30318160,CE10_chr8_4027355,CE10_chr8_4030884,CE10_chr8_47308615,CE10_chr8_47310324,CE10_chr8_47310455
1,2010,NA,0.35714285714285715,0.4375,0.5,0.4444444444444444,0.4444444444444444,NA,NA,0.7777777777777778,0.7777777777777778,NA,0.6111111111111112,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.5,0.7777777777777778,1,NA,0.125,0.5,0.5,0.8888888888888888,0.8333333333333334,0.8333333333333334,0.7777777777777778,0.8125,0.8888888888888888,0.8888888888888888,0.875,0.16666666666666666,NA,0.2777777777777778,0.2777777777777778,0.3333333333333333,0.2222222222222222,0.14285714285714285,0.16666666666666666,0.16666666666666666,0.2222222222222222,0.2222222222222222,0.2777777777777778,NA,0.25,0.8125,0.875,0.7777777777777778,NA,0.625,0.875,NA
2,2010,1,0.4,0.9,0.9,0.8,0.8,1,NA,NA,NA,NA,0.8,1,0.9,NA,NA,0.75,0.9,0.1,0.625,0.4,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.8,NA,0.6666666666666666,0.7,0.8,0.7,0.7,1,1,0.7,0.875,1,NA,0.75,0.9,0.9,NA,NA,0.4,0.75,1
3,2010,0.3333333333333333,0.07142857142857142,0.2857142857142857,0.2857142857142857,0.21428571428571427,0.21428571428571427,0.9166666666666666,0.7142857142857143,1,0.8571428571428571,0.7857142857142857,0.14285714285714285,0.8571428571428571,0.5833333333333334,0.6666666666666666,0.8571428571428571,0.5,0.9166666666666666,0,0.25,0.75,0.75,0.7857142857142857,0.8333333333333334,1,0.7857142857142857,0.9166666666666666,0.7857142857142857,0.75,0.7857142857142857,0,NA,0,0.07142857142857142,0.07142857142857142,0.07142857142857142,0,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,NA,0.07142857142857142,0.5,0.5,0.7857142857142857,0.6666666666666666,0.35714285714285715,0.5,0.7142857142857143
4,2010,0.25,0.3,0.3,0.3,0.3,0.3,0.4,0.8,0.8,0.8,1,0.2,0.8,0.8,0.8,NA,0,1,0,0.25,0,0.125,0.3,0.3,0.3333333333333333,0.4,NA,0.3,0.3,0.3,0.2,NA,0.125,0.3,0.3,0.3,0,0.3,0.3,0.3,0.125,0.3,NA,0.2,0.4,0.4,0.375,0.4,0.6,0.4,0.4
5,2010,0.16666666666666666,0.2857142857142857,0.25,0.25,0.16666666666666666,0.16666666666666666,0.9166666666666666,0.8571428571428571,0.7857142857142857,0.7857142857142857,0.8571428571428571,0.2857142857142857,0.8571428571428571,0.9285714285714286,0.9285714285714286,0.9166666666666666,0,1,0,0.14285714285714285,1,1,0.2857142857142857,0.2857142857142857,0.21428571428571427,0.2857142857142857,0.3333333333333333,0.2857142857142857,0.21428571428571427,0.21428571428571427,0.21428571428571427,NA,0.21428571428571427,0.14285714285714285,0.21428571428571427,0.21428571428571427,0.08333333333333333,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.08333333333333333,0.14285714285714285,NA,0.14285714285714285,0.8571428571428571,1,0.7142857142857143,0.7857142857142857,0.5,0.5833333333333334,0.75
6,2010,0.7,0.4444444444444444,0.1,0.1,0.05,0.05,0.7777777777777778,0.45,0.5,0.6,0.5,0.35,0.55,0.4444444444444444,0.5,1,0.4,NA,NA,0.3,0.55,0.5555555555555556,0.5,0.45,0.8,0.6,0.875,0.55,0.5,0.5,0.7,NA,0.6428571428571429,0.65,0.6,0.65,0.6111111111111112,0.6,0.6,0.6111111111111112,0.625,0.75,NA,0.5625,0.55,0.45,0.6,0.65,0.4,0.5625,0.55
7,2010,0.6666666666666666,NA,NA,NA,0,0,0.875,1,1,1,1,NA,NA,1,0.9375,0.21428571428571427,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.5625,0.9285714285714286,0.3125,0.25
8,2011,0.375,NA,NA,NA,NA,NA,NA,0.625,0.625,0.625,0.625,NA,1,NA,NA,NA,NA,NA,NA,0.16666666666666666,0,0,0.5,0.375,0.375,0.5,0.5,0.5,0.625,0.5,NA,NA,0.25,0.125,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,NA,NA,NA,NA,NA,NA,0.125,0.875,0.875
9,2010,0.5625,NA,0.2777777777777778,0.3888888888888889,0.1875,0.2222222222222222,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.875,0.8333333333333334,0.1111111111111111,0.8333333333333334,0.7777777777777778,0.7777777777777778,NA,NA,NA,NA,0.16666666666666666,0.7222222222222222,0.7222222222222222,0.3333333333333333,0.3333333333333333,0.375,0.375,0.3333333333333333,0.3888888888888889,0.35714285714285715,0.3888888888888889,0.1111111111111111,NA,0,0.0625,0.1111111111111111,0,0,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.1111111111111111,0.1111111111111111,NA,0.1111111111111111,0.05555555555555555,0.0625,0.8125,0.7777777777777778,0.625,0.4444444444444444,0.3888888888888889
10,2011,0.3,0.1,NA,NA,0,NA,0.95,0.1,0.0625,0.2,0.16666666666666666,0.7222222222222222,0.3,0.4,0.45,0.8,0,0.6666666666666666,NA,0.9166666666666666,0.3333333333333333,0.3333333333333333,0.95,0.95,0.95,0.95,0.95,1,0.95,0.95,0.35,NA,0.45,0.3333333333333333,0.3,0.3,0.3,0.375,0.3888888888888889,0.2777777777777778,0.35,0.3,NA,0.1875,0.1111111111111111,0.05,0.65,0.6111111111111112,0.15,0.95,0.9
